date,,maker,electric_vehicles_sold,YEAR,vehicle_category,,,,,,,,,,
01-12-2021,,Tata Motors,772,2021,4-Wheelers,,,,,,,,,,
01-01-2022,,MG Motor,263,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Mahindra & Mahindra,276,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Hyundai Motor,6,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Mercedes -Benz AG,2,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Tata Motors,1997,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,MG Motor,207,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Mahindra & Mahindra,1213,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,BYD India,48,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Hyundai Motor,57,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,BMW India,21,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Mercedes -Benz AG,3,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Tata Motors,3126,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,MG Motor,676,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Mahindra & Mahindra,1668,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,BYD India,141,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Hyundai Motor,161,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,PCA Automobiles,108,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,BMW India,58,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Mercedes -Benz AG,41,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Volvo Auto India,42,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,KIA Motors,26,2022,4-Wheelers,,,,,,,,,,
01-01-2022,,Tata Motors,803,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,MG Motor,194,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Mahindra & Mahindra,369,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Hyundai Motor,8,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Mercedes -Benz AG,3,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Tata Motors,2395,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,MG Motor,338,2022,4-Wheelers,,,,,,,,,,
